dateTime,last,lastDateTime,volBid,volAsk,bid,ask,vol
1356696420000,1.32198,0,0,0,0,0,0
1356696480000,1.32194,0,0,0,0,0,0
1356696540000,1.32189,0,0,0,0,0,0
1356696600000,1.32205,0,0,0,0,0,0
1356696660000,1.32203,0,0,0,0,0,0
1356696720000,1.32193,0,0,0,0,0,0
1356696780000,1.32193,0,0,0,0,0,0
1356696840000,1.32190,0,0,0,0,0,0
1356696900000,1.32182,0,0,0,0,0,0
1356696960000,1.32182,0,0,0,0,0,0
1356697020000,1.32187,0,0,0,0,0,0
1356697080000,1.32183,0,0,0,0,0,0
1356697140000,1.32183,0,0,0,0,0,0
1356697200000,1.32188,0,0,0,0,0,0
1356697260000,1.32191,0,0,0,0,0,0
1356697320000,1.32189,0,0,0,0,0,0
1356697380000,1.32182,0,0,0,0,0,0
1356697440000,1.32185,0,0,0,0,0,0
1356697500000,1.32188,0,0,0,0,0,0
1356697560000,1.32181,0,0,0,0,0,0
1356697620000,1.32188,0,0,0,0,0,0
1356697680000,1.32185,0,0,0,0,0,0
1356697740000,1.32183,0,0,0,0,0,0
1356697800000,1.32181,0,0,0,0,0,0
1356697860000,1.32181,0,0,0,0,0,0
1356697920000,1.32181,0,0,0,0,0,0
1356697980000,1.32176,0,0,0,0,0,0
1356698040000,1.32173,0,0,0,0,0,0
1356698100000,1.32171,0,0,0,0,0,0
1356698160000,1.32164,0,0,0,0,0,0
1356698220000,1.32165,0,0,0,0,0,0
1356698280000,1.32159,0,0,0,0,0,0
1356698340000,1.32159,0,0,0,0,0,0
1356698400000,1.32159,0,0,0,0,0,0
1356698460000,1.32163,0,0,0,0,0,0
1356698520000,1.32170,0,0,0,0,0,0
1356698580000,1.32160,0,0,0,0,0,0
1356698640000,1.32170,0,0,0,0,0,0
1356698700000,1.32174,0,0,0,0,0,0
1356698760000,1.32174,0,0,0,0,0,0
1356698820000,1.32173,0,0,0,0,0,0
1356698880000,1.32172,0,0,0,0,0,0
1356698940000,1.32167,0,0,0,0,0,0
1356699000000,1.32167,0,0,0,0,0,0
1356699060000,1.32165,0,0,0,0,0,0
1356699120000,1.32159,0,0,0,0,0,0
1356699180000,1.32160,0,0,0,0,0,0
1356699240000,1.32155,0,0,0,0,0,0
1356699300000,1.32140,0,0,0,0,0,0
1356699360000,1.32130,0,0,0,0,0,0
1356699420000,1.32141,0,0,0,0,0,0
1356699480000,1.32153,0,0,0,0,0,0
1356699540000,1.32168,0,0,0,0,0,0
1356699600000,1.32179,0,0,0,0,0,0
1356699660000,1.32176,0,0,0,0,0,0
1356699720000,1.32188,0,0,0,0,0,0
1356699780000,1.32183,0,0,0,0,0,0
1356699840000,1.32170,0,0,0,0,0,0
1356699900000,1.32171,0,0,0,0,0,0
1356699960000,1.32180,0,0,0,0,0,0
1356700020000,1.32173,0,0,0,0,0,0
1356700080000,1.32182,0,0,0,0,0,0
1356700140000,1.32183,0,0,0,0,0,0
1356700200000,1.32188,0,0,0,0,0,0
1356700260000,1.32185,0,0,0,0,0,0
1356700320000,1.32176,0,0,0,0,0,0
1356700380000,1.32178,0,0,0,0,0,0
1356700440000,1.32180,0,0,0,0,0,0
1356700500000,1.32180,0,0,0,0,0,0
1356700560000,1.32188,0,0,0,0,0,0
1356700620000,1.32191,0,0,0,0,0,0
1356700680000,1.32186,0,0,0,0,0,0
1356700740000,1.32182,0,0,0,0,0,0
1356700800000,1.32189,0,0,0,0,0,0
1356700860000,1.32190,0,0,0,0,0,0
1356700920000,1.32192,0,0,0,0,0,0
1356700980000,1.32190,0,0,0,0,0,0
1356701040000,1.32188,0,0,0,0,0,0
1356701100000,1.32187,0,0,0,0,0,0
1356701160000,1.32188,0,0,0,0,0,0
1356701220000,1.32179,0,0,0,0,0,0
1356701280000,1.32179,0,0,0,0,0,0
1356701340000,1.32172,0,0,0,0,0,0
1356701400000,1.32179,0,0,0,0,0,0
1356701460000,1.32170,0,0,0,0,0,0
1356701520000,1.32167,0,0,0,0,0,0
1356701580000,1.32163,0,0,0,0,0,0
1356701640000,1.32155,0,0,0,0,0,0
1356701700000,1.32165,0,0,0,0,0,0
1356701760000,1.32165,0,0,0,0,0,0
1356701820000,1.32168,0,0,0,0,0,0
1356701880000,1.32176,0,0,0,0,0,0
1356701940000,1.32170,0,0,0,0,0,0
1356702000000,1.32164,0,0,0,0,0,0
1356702060000,1.32162,0,0,0,0,0,0
1356702120000,1.32169,0,0,0,0,0,0
1356702180000,1.32168,0,0,0,0,0,0
1356702240000,1.32168,0,0,0,0,0,0
1356702300000,1.32158,0,0,0,0,0,0
1356702360000,1.32159,0,0,0,0,0,0
1356702420000,1.32172,0,0,0,0,0,0
1356702480000,1.32172,0,0,0,0,0,0
1356702540000,1.32192,0,0,0,0,0,0
1356702600000,1.32208,0,0,0,0,0,0
1356702660000,1.32191,0,0,0,0,0,0
1356702720000,1.32185,0,0,0,0,0,0
1356702780000,1.32192,0,0,0,0,0,0
1356702840000,1.32192,0,0,0,0,0,0
1356702900000,1.32202,0,0,0,0,0,0
1356702960000,1.32211,0,0,0,0,0,0
1356703020000,1.32205,0,0,0,0,0,0
1356703080000,1.32205,0,0,0,0,0,0
1356703140000,1.32211,0,0,0,0,0,0
1356703200000,1.32204,0,0,0,0,0,0
1356703260000,1.32198,0,0,0,0,0,0
1356703320000,1.32198,0,0,0,0,0,0
1356703380000,1.32207,0,0,0,0,0,0
